Voltage(V);Current (pA)
32;83.5
31;80.4
30;77.2
29;74
28;70.8
27;67.6
26;64.3
25;61
24;57.8
23;54.5
22;51.1
21;47.8
20;44.5
19;41.1
18;37.7
17;34.4
16;31.1
15;27.7
14;24.4
13;21.2
12;18
11;15
10;12.1
9;9.3
8;7
7;5
6;3.3
5;1
