,Voltage(V),Current (pA),photonsPerSecond (#photons/s)
0,32,10.0,131681891.26677509
1,31,9.6,126382821.19567749
2,30,9.2,121083751.12457989
3,29,8.9,117109448.57125671
4,28,8.5,111810378.50015913
5,27,8.1,106511308.42906153
6,26,7.7,101212238.35796396
7,25,7.4,97237935.80464077
8,24,7.0,91938865.73354317
9,23,6.6,86639795.66244559
10,22,6.3,82665493.1091224
11,21,5.9,77366423.03802481
12,20,5.6,73392120.48470162
13,19,5.2,68093050.41360402
14,18,4.9,64118747.86028084
15,17,4.6,60144445.30695764
16,16,4.3,56170142.753634445
17,15,4.0,52195840.20031125
18,14,3.7,48221537.646988064
19,13,3.4,44247235.09366487
20,12,3.1,40272932.540341675
21,11,2.7,34973862.46924409
22,10,2.4,30999559.915920895
23,9,1.9,24375722.327048905
24,8,1.4,17751884.73817692
25,7,0.7,8478512.113756143
26,6,0.2,1854674.5248841564
